rank,signal,rule_id,severity,impact,score_contribution,title,file,start_line,duplicate_count,next_step
1,pattern_fragmentation,pattern_fragmentation,high,0.6988,0.1576,error_handling: 22 variants in scripts/,scripts,,1,Consolidate 22 pattern variants in scripts
2,pattern_fragmentation,pattern_fragmentation,high,0.6932,0.1576,error_handling: 18 variants in src/drift/signals/,src/drift/signals,,1,Consolidate 18 pattern variants in src/drift/signals
3,pattern_fragmentation,pattern_fragmentation,high,0.6813,0.1576,error_handling: 18 variants in src/drift/,src/drift,,1,Consolidate 18 pattern variants in src/drift
4,pattern_fragmentation,pattern_fragmentation,high,0.4927,0.1576,error_handling: 8 variants in src/drift/ingestion/,src/drift/ingestion,,1,Consolidate 8 pattern variants in src/drift/ingestion
5,pattern_fragmentation,pattern_fragmentation,high,0.4927,0.1576,error_handling: 6 variants in tests/,tests,,1,Consolidate 6 pattern variants in tests
6,pattern_fragmentation,pattern_fragmentation,medium,0.2239,0.1051,error_handling: 3 variants in src/drift/commands/,src/drift/commands,,1,Consolidate 3 pattern variants in src/drift/commands
7,pattern_fragmentation,pattern_fragmentation,medium,0.1985,0.082,error_handling: 2 variants in src/drift/analyzers/typescript/,src/drift/analyzers/typescript,,1,Consolidate 2 pattern variants in src/drift/analyzers/typescript
8,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _run_signals_on_fixture,scripts/copilot_context_benchmark.py,89,1,Merge '_run_signals_on_fixture' and '_run_signals_on_fixture' (across scripts/copilot_context_benchmark.py and tests/test_copilot_context_coverage.py)
9,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _finding_dedupe_key,src/drift/output/csv_output.py,44,1,Merge '_finding_dedupe_key' and '_finding_dedupe_key' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
10,mutant_duplicate,mutant_duplicate,high,0.1981,0.1153,Exact duplicates (2×): _dedupe_findings,src/drift/output/csv_output.py,54,1,Merge '_dedupe_findings' and '_dedupe_findings' (across src/drift/output/csv_output.py and src/drift/output/json_output.py)
